market,method,variant,horizon,topk,cost_bps,days,ann_return,ann_vol,sharpe,mdd,cum_return,active_ann_return,active_sharpe,avg_turnover,hit_rate,avg_max_industry_weight,avg_size_exposure,yearly_ann_returns,daily_source,method_label
cn_a_share,lingxi,raw,5,30,10.00,727,0.60057198,0.13981653,4.29542912,-0.14263398,2.88434471,0.42451060,4.98177273,0.10550206,0.57083906,0.18771206,0.05169051,2023:0.3776;2024:0.3370;2025:1.2231,experiments\lingxi_fusion_validation\cn_a_share\lingxi_h5_top30_raw_daily.csv,Lingxi / RDA-Adapt
cn_a_share,lingxi,industry_size_neutral,5,30,10.00,727,0.47563429,0.12987720,3.66218450,-0.19285753,2.07248836,0.31335089,4.68551036,0.11086657,0.57221458,0.14273269,-0.10297885,2023:0.2388;2024:0.2745;2025:1.0325,experiments\lingxi_fusion_validation\cn_a_share\lingxi_h5_top30_industry_size_neutral_daily.csv,Lingxi / RDA-Adapt
cn_a_share,lingxi,raw,5,20,10.00,727,0.74597865,0.15459287,4.82544014,-0.16038172,3.99186808,0.55439993,5.27122096,0.11327373,0.56808803,0.22173315,0.02467781,2023:0.5509;2024:0.2913;2025:1.6531,experiments\lingxi_fusion_validation\cn_a_share\lingxi_h5_top20_raw_daily.csv,Lingxi / RDA-Adapt
cn_a_share,lingxi,industry_size_neutral,5,20,10.00,727,0.58988953,0.14762071,3.99598086,-0.22845807,2.81002359,0.41619681,4.73456290,0.11939477,0.55983494,0.16898212,-0.13640481,2023:0.2912;2024:0.3188;2025:1.3562,experiments\lingxi_fusion_validation\cn_a_share\lingxi_h5_top20_industry_size_neutral_daily.csv,Lingxi / RDA-Adapt
cn_a_share,lingxi,raw,5,10,10.00,727,1.13777740,0.18823333,6.04450552,-0.17485119,7.95190725,0.90511292,6.30336888,0.13878955,0.57771664,0.31127923,-0.00807473,2023:0.8365;2024:0.3359;2025:2.9721,experiments\lingxi_fusion_validation\cn_a_share\lingxi_h5_top10_raw_daily.csv,Lingxi / RDA-Adapt
cn_a_share,lingxi,industry_size_neutral,5,10,10.00,727,0.89649922,0.17400285,5.15221003,-0.23572026,5.33682030,0.69006887,5.56039145,0.13081155,0.56808803,0.22751032,-0.15971100,2023:0.4789;2024:0.4713;2025:2.1284,experiments\lingxi_fusion_validation\cn_a_share\lingxi_h5_top10_industry_size_neutral_daily.csv,Lingxi / RDA-Adapt
cn_a_share,lingxi,raw,5,5,10.00,727,1.56664220,0.23662306,6.62083495,-0.26143525,14.17003174,1.29149094,6.68311883,0.15859697,0.56808803,0.42778542,-0.01316488,2023:1.2154;2024:0.5551;2025:3.8947,experiments\lingxi_fusion_validation\cn_a_share\lingxi_h5_top5_raw_daily.csv,Lingxi / RDA-Adapt
cn_a_share,lingxi,industry_size_neutral,5,5,10.00,727,1.16659995,0.21212421,5.49960785,-0.25457365,8.30454161,0.93187618,5.46944021,0.14319120,0.56258597,0.30646492,-0.16139998,2023:0.5672;2024:0.5496;2025:3.1766,experiments\lingxi_fusion_validation\cn_a_share\lingxi_h5_top5_industry_size_neutral_daily.csv,Lingxi / RDA-Adapt
cn_a_share,qlib_alpha158,raw,5,30,10.00,727,-0.00325161,0.13616046,-0.02388069,-0.43596526,-0.00935190,-0.11623275,-1.89354729,0.52035763,0.46492435,0.18335626,-0.63680302,2023:-0.1888;2024:-0.0206;2025:0.2452,experiments\lingxi_fusion_validation\cn_a_share\qlib_alpha158_h5_top30_raw_daily.csv,Qlib Alpha158 proxy
cn_a_share,qlib_alpha158,industry_size_neutral,5,30,10.00,727,0.05468973,0.11739452,0.46586269,-0.32427193,0.16603872,-0.06611378,-1.52117383,0.54704264,0.49793673,0.14291609,-0.15989828,2023:-0.1601;2024:0.0389;2025:0.3431,experiments\lingxi_fusion_validation\cn_a_share\qlib_alpha158_h5_top30_industry_size_neutral_daily.csv,Qlib Alpha158 proxy
cn_a_share,qlib_alpha158,raw,5,20,10.00,727,-0.01688717,0.14236462,-0.11861918,-0.46297835,-0.04794665,-0.12816465,-1.79124192,0.58672627,0.44704264,0.20997249,-0.65145509,2023:-0.1703;2024:-0.0843;2025:0.2494,experiments\lingxi_fusion_validation\cn_a_share\qlib_alpha158_h5_top20_raw_daily.csv,Qlib Alpha158 proxy
cn_a_share,qlib_alpha158,industry_size_neutral,5,20,10.00,727,0.02037108,0.12216106,0.16675589,-0.36445713,0.05990401,-0.09639206,-1.83376293,0.59951857,0.47730399,0.16629986,-0.18619505,2023:-0.1876;2024:-0.0134;2025:0.3239,experiments\lingxi_fusion_validation\cn_a_share\qlib_alpha158_h5_top20_industry_size_neutral_daily.csv,Qlib Alpha158 proxy
