date,n,topk,gross_return,benchmark_return,active_return,net_return,net_active_return,turnover,cost,max_industry_weight,size_exposure
2023-01-03,20,10,0.0166754463836882,0.014138626214438973,0.002536820169249226,0.0161754463836882,0.0020368201692492257,0.5,0.0005,0.30000000000000004,-1.8175514099683312
2023-01-04,20,10,0.01598590087517052,0.013041473159781635,0.0029444277153888847,0.01568590087517052,0.002644427715388883,0.30000000000000004,0.00030000000000000003,0.30000000000000004,1.158579571647902
2023-01-05,20,10,0.02502387503372664,0.05816618702898672,-0.033142311995260076,0.02482387503372664,-0.033342311995260075,0.2,0.0002,0.4,0.9578208519136169
2023-01-06,20,10,0.10260789310950362,0.06299537414887094,0.039612518960632684,0.10240789310950361,0.03941251896063268,0.2,0.0002,0.4,-0.6321853916346889
2023-01-07,20,10,0.12005743811538712,0.07136108512253123,0.04869635299285589,0.11985743811538711,0.04849635299285589,0.2,0.0002,0.5,-1.3542425806596334
2023-01-08,20,10,0.12320141929632947,0.07479731372555862,0.04840410557077085,0.12320141929632947,0.04840410557077085,0.0,0.0,0.5,-1.2294432116404401
2023-01-09,20,10,0.062151167058356396,0.04626940828299869,0.015881758775357704,0.062151167058356396,0.015881758775357704,0.0,0.0,0.5,-1.2609418990935204
2023-01-10,20,10,0.024656476578741815,0.025757489487067832,-0.001101012908326017,0.024656476578741815,-0.001101012908326017,0.0,0.0,0.5,-1.3304167439565866
2023-01-11,20,10,0.015051270999483595,0.01708085707055535,-0.002029586071071756,0.014951270999483596,-0.0021295860710717554,0.1,0.0001,0.6,-1.2481982944854977
2023-01-12,20,10,0.012899250893618245,0.01226701773945878,0.0006322331541594641,0.012699250893618244,0.0004322331541594636,0.2,0.0002,0.7,0.5094771961473512
2023-01-13,20,10,-0.007749103218406132,-0.005855856532066444,-0.0018932466863396877,-0.007849103218406131,-0.001993246686339687,0.1,0.0001,0.7,-0.4158108676057779
2023-01-14,20,10,-0.006811394169997031,-0.007132158827976733,0.0003207646579797014,-0.006911394169997032,0.00022076465797970114,0.1,0.0001,0.7,0.518074147666546
2023-01-15,20,10,0.010771130365329831,0.008954976259352987,0.001816154105976844,0.01057113036532983,0.0016161541059768435,0.2,0.0002,0.6,-1.6768556388877833
2023-01-16,20,10,0.008506867582927582,0.007038548029470475,0.0014683195534571074,0.008506867582927582,0.0014683195534571074,0.0,0.0,0.6,-1.756921885159553
2023-01-17,20,10,0.011737715348335679,0.00922869988576247,0.0025090154625732088,0.01163771534833568,0.0024090154625732094,0.1,0.0001,0.5,-1.5570103121171428
2023-01-18,20,10,0.027261610788179885,0.023530187317162662,0.003731423471017223,0.027261610788179885,0.003731423471017223,0.0,0.0,0.5,-1.6690001136899468
2023-01-19,20,10,0.010328769706468423,0.008288280088172189,0.002040489618296235,0.010328769706468423,0.002040489618296235,0.0,0.0,0.5,-1.6449032318100407
2023-01-20,20,10,0.003773956069628488,0.001965873554424097,0.0018080825152043912,0.0036739560696284882,0.0017080825152043914,0.1,0.0001,0.6,-0.6057758391172499
2023-01-21,20,10,0.011856465924887956,0.0069486468150698946,0.004907819109818062,0.011756465924887957,0.004807819109818062,0.1,0.0001,0.5,-0.3435578873576901
2023-01-22,20,10,0.013828779974461896,0.008130968615936244,0.005697811358525652,0.013828779974461896,0.005697811358525652,0.0,0.0,0.5,-0.35227141491280634
2023-01-23,20,10,0.006726506999429475,0.002213147586336935,0.00451335941309254,0.006626506999429475,0.00441335941309254,0.1,0.0001,0.5,-1.650097428832197
2023-01-24,20,10,0.026488799015705455,0.019621502925299423,0.006867296090406032,0.026388799015705455,0.006767296090406032,0.1,0.0001,0.6,-1.0464677155748348
2023-01-25,20,10,0.001091430135380198,-0.0003150289775840154,0.0014064591129642134,0.001091430135380198,0.0014064591129642134,0.0,0.0,0.6,-0.9432815932328538
2023-01-26,20,10,-0.00042413818313502105,0.0012988231999712617,-0.0017229613831062827,-0.0005241381831350211,-0.001822961383106283,0.1,0.0001,0.6,-0.5506247515425642
2023-01-27,20,10,0.005010480661507024,0.005416335212364444,-0.0004058545508574202,0.005010480661507024,-0.0004058545508574202,0.0,0.0,0.6,-0.5984657779640123
2023-01-28,20,10,0.00703312931924637,0.006268376608210448,0.0007647527110359216,0.0069331293192463695,0.0006647527110359213,0.1,0.0001,0.5,-1.4943058936475495
2023-01-29,20,10,0.002843057315815458,0.0035708483705126485,-0.0007277910546971906,0.002743057315815458,-0.0008277910546971904,0.1,0.0001,0.5,-0.38617228468778464
2023-01-30,20,10,0.013977701974673368,0.01385856041510492,0.00011914155956844856,0.013877701974673369,1.9141559568449165e-05,0.1,0.0001,0.6,0.19403330422425213
2023-01-31,20,10,0.0035705029435300095,0.004128277298275964,-0.0005577743547459549,0.0034705029435300096,-0.0006577743547459547,0.1,0.0001,0.5,-0.46326600401817686
2023-02-01,20,10,-0.0090640572425156,-0.0073895189796765025,-0.0016745382628390974,-0.0090640572425156,-0.0016745382628390974,0.0,0.0,0.5,-0.434382391504478
2023-02-02,20,10,0.003066600647863791,0.0030862449683415915,-1.9644320477800632e-05,0.002966600647863791,-0.00011964432047780046,0.1,0.0001,0.6,-0.5456449974951205
2023-02-03,20,10,-0.005004886638819798,-0.004152918970039086,-0.0008519676687807126,-0.005004886638819798,-0.0008519676687807126,0.0,0.0,0.6,-0.5752152381553017
